t_tot,t,m,m2,m4,E
4e-06,4e-06,0.000416,1.73056e-07,2.9948379136e-14,-112
6.4e-05,6e-05,0.000296,8.7616e-08,7.676563456e-15,-128
0.000168,0.000104,8.8e-05,7.744e-09,5.9969536e-17,-168
0.000176,8e-06,0.000104,1.0816e-08,1.16985856e-16,-172
0.000196,2e-05,6.4e-05,4.096e-09,1.6777216e-17,-172
0.000244,4.8e-05,0.00016,2.56e-08,6.5536e-16,-200
0.00026,1.6e-05,0.000128,1.6384e-08,2.68435456e-16,-216
0.00026399999999999997,4e-06,0.000136,1.8496e-08,3.42102016e-16,-216
0.00028,1.6e-05,0.000168,2.8224e-08,7.96594176e-16,-224
0.00031999999999999997,4e-05,0.000248,6.1504e-08,3.782742016e-15,-232
0.00032399999999999996,4e-06,0.00024,5.76e-08,3.31776e-15,-236
0.00034799999999999995,2.4e-05,0.000288,8.2944e-08,6.879707136e-15,-256
0.0004559999999999999,0.000108,7.2e-05,5.184e-09,2.6873856e-17,-300
0.0004599999999999999,4e-06,8e-05,6.4e-09,4.096e-17,-304
0.0004679999999999999,8e-06,6.4e-05,4.096e-09,1.6777216e-17,-308
0.00047199999999999987,4e-06,7.2e-05,5.184e-09,2.6873856e-17,-308
0.00047599999999999986,4e-06,6.4e-05,4.096e-09,1.6777216e-17,-312
0.00047999999999999985,4e-06,5.6e-05,3.136e-09,9.834496e-18,-316
0.0005239999999999998,4.4e-05,-3.2e-05,1.024e-09,1.048576e-18,-332
0.0005559999999999999,3.2e-05,3.2e-05,1.024e-09,1.048576e-18,-356
0.0005879999999999999,3.2e-05,9.6e-05,9.216e-09,8.4934656e-17,-380
0.0006239999999999999,3.6e-05,0.000168,2.8224e-08,7.96594176e-16,-400
0.0006279999999999999,4e-06,0.00016,2.56e-08,6.5536e-16,-400
0.0006319999999999999,4e-06,0.000168,2.8224e-08,7.96594176e-16,-400
0.0006439999999999998,1.2e-05,0.000144,2.0736e-08,4.29981696e-16,-416
0.0006479999999999998,4e-06,0.000136,1.8496e-08,3.42102016e-16,-416
0.0006679999999999999,2e-05,9.6e-05,9.216e-09,8.4934656e-17,-432
0.0006839999999999998,1.6e-05,0.000128,1.6384e-08,2.68435456e-16,-440
0.0007119999999999999,2.8e-05,0.000184,3.3856e-08,1.146228736e-15,-456
0.0007199999999999998,8e-06,0.000168,2.8224e-08,7.96594176e-16,-460
0.0007519999999999998,3.2e-05,0.000232,5.3824e-08,2.897022976e-15,-476
0.0007639999999999998,1.2e-05,0.000256,6.5536e-08,4.294967296e-15,-492
0.0007839999999999999,2e-05,0.000296,8.7616e-08,7.676563456e-15,-500
0.0007879999999999999,4e-06,0.000304,9.2416e-08,8.540717056e-15,-508
0.0008239999999999999,3.6e-05,0.000232,5.3824e-08,2.897022976e-15,-512
0.0008319999999999998,8e-06,0.000216,4.6656e-08,2.176782336e-15,-520
0.0008559999999999999,2.4e-05,0.000264,6.9696e-08,4.857532416e-15,-536
0.0008679999999999998,1.2e-05,0.00024,5.76e-08,3.31776e-15,-540
0.0008959999999999999,2.8e-05,0.000184,3.3856e-08,1.146228736e-15,-556
0.0009199999999999999,2.4e-05,0.000136,1.8496e-08,3.42102016e-16,-576
0.0009679999999999999,4.8e-05,4e-05,1.6e-09,2.56e-18,-616
0.0009759999999999999,8e-06,2.4e-05,5.76e-10,3.31776e-19,-620
0.00098,4e-06,3.2e-05,1.024e-09,1.048576e-18,-628
0.000996,1.6e-05,3.48977574269e-19,1.21785347343e-37,1.48316708273e-74,-636
0.001024,2.8e-05,-5.6e-05,3.136e-09,9.834496e-18,-624
0.001032,8e-06,-4e-05,1.6e-09,2.56e-18,-616
0.0010919999999999999,6e-05,-0.00016,2.56e-08,6.5536e-16,-656
0.0011079999999999998,1.6e-05,-0.000128,1.6384e-08,2.68435456e-16,-672
0.001112,4e-06,-0.000136,1.8496e-08,3.42102016e-16,-680
0.00112,8e-06,-0.00012,1.44e-08,2.0736e-16,-684
0.001124,4e-06,-0.000128,1.6384e-08,2.68435456e-16,-684
0.001128,4e-06,-0.000136,1.8496e-08,3.42102016e-16,-684
0.0011320000000000002,4e-06,-0.000128,1.6384e-08,2.68435456e-16,-688
0.0011440000000000003,1.2e-05,-0.000104,1.0816e-08,1.16985856e-16,-684
0.0011840000000000004,4e-05,-0.000184,3.3856e-08,1.146228736e-15,-716
0.0012000000000000003,1.6e-05,-0.000216,4.6656e-08,2.176782336e-15,-736
0.0012160000000000003,1.6e-05,-0.000184,3.3856e-08,1.146228736e-15,-740
0.0012600000000000003,4.4e-05,-0.000272,7.3984e-08,5.473632256e-15,-760
0.0012920000000000002,3.2e-05,-0.000208,4.3264e-08,1.871773696e-15,-784
0.0013480000000000002,5.6e-05,-9.6e-05,9.216e-09,8.4934656e-17,-812
0.0013640000000000002,1.6e-05,-6.4e-05,4.096e-09,1.6777216e-17,-820
0.0014040000000000003,4e-05,1.6e-05,2.56e-10,6.5536e-20,-836
